East Timor, 81 
Canada, 441 
Sao Tome and Principe, 90 
Guernsey, 439 
Turkmenistan, 441 
Lithuania, 441 
Cambodia, 258 
Switzerland, 441 
Ethiopia, 440 
Virgin Islands [United States], 441 
Madeira Islands [Portugal], 441 
American Samoa [United States], 441 
Swaziland, 259 
Netherland Antilles, 441 
Argentina, 441 
Bolivia, 441 
Cameroon, 416 
Burkina Faso, 438 
Bermuda [United Kingdom], 422 
Bahrain, 441 
French Southern and Antarctic Lands [France], 430 
Saudi Arabia, 441 
Tromelin Island [France], 437 
Azores, 441 
Cayman Islands [United Kingdom], 438 
Japan, 441 
Cape Verde, 439 
Coral Sea Islands [Australia], 431 
Slovenia, 441 
Guatemala, 348 
Bosnia and Herzegovina, 441 
Guinea, 168 
Gibraltar [United Kingdom], 439 
Taiwan, 441 
Spain, 441 
Norfolk Island [Australia], 441 
Portugal, 441 
Netherlands, 441 
Pakistan, 441 
Oman, 441 
Tanzania, 438 
Aruba, 434 
Zambia, 435 
Mauritania, 440 
Isle of Man, 439 
Burma / Myanmar, 440 
Midway Islands [United States}, 352 
Mauritius, 441 
Montserrat [United Kingdom], 114 
Yemen, 356 
Jersey, 435 
St. Lucia; St. Vincent; and the Grenadines, 435 
Jamaica, 441 
Albania, 341 
Samoa, 327 
Wallis and Futuna [France], 441 
United Arab Emirates, 441 
India, 441 
Azerbaijan, 441 
Madagascar, 436 
Cote D'Ivoire, 441 
Belgium and Luxemborg, 441 
Lesotho, 114 
Kenya, 441 
Tajikistan, 441 
Turkey, 441 
Afghanistan, 316 
Jan Mayen [Norway], 441 
Czech Republic, 441 
Guadeloupe [France], 440 
Solomon Islands, 397 
Mongolia, 441 
France, 441 
Europa Island, 410 
Rwanda, 315 
Slovakia, 441 
Somalia, 103 
Peru, 441 
Vanuatu, 439 
Nauru, 145 
Guam [United States], 441 
Norway, 441 
Malawi, 398 
Benin, 441 
Federated States of Micronesia, 441 
Saint Helena [United Kingdom], 441 
Cuba, 441 
Bahamas; The, 441 
Montenegro, 441 
Togo, 438 
China, 441 
Armenia, 441 
Dominican Republic, 418 
Turks and Caicos Islands [United Kingdom], 111 
Former USSR (Europe), 300 
Ukraine, 441 
Ghana, 350 
Tonga, 441 
Finland, 441 
New Zealand, 441 
Libya, 440 
Macau [Portugal], 437 
Indonesia, 439 
Central African Republic, 397 
United States, 441 
Johnston Atoll [United States], 275 
Belarus, 441 
Mali, 441 
Niue [New Zealand], 349 
Greenland [Denmark], 441 
Bulgaria, 441 
Falkland Islands [United Kingdom], 411 
Romania, 441 
Angola, 183 
Chad, 364 
[Missing], 408 
Fiji, 441 
Sweden, 441 
Malaysia, 441 
Austria, 441 
Vietnam, 441 
[Conflict], 441 
Uganda, 234 
Hungary, 441 
Niger, 441 
Juan de Nova Island, 403 
Brazil, 441 
Faroe Islands, 441 
Kuwait, 432 
Panama, 440 
Martinique [France], 436 
Costa Rica, 441 
Canary Islands [Spain], 441 
Virgin Islands [United Kingdom], 113 
Former USSR (Asia), 111 
St. Pierre and Miquelon [France], 441 
Ceuta and Melilla [Spain], 333 
Ireland, 441 
Palau, 441 
Nigeria, 293 
Ecuador, 440 
Bangladesh, 435 
Brunei, 433 
Australia, 441 
Iran, 441 
Chagos Archipelago [United Kingdom], 440 
Algeria, 441 
El Salvador, 436 
Tuvalu, 435 
Pitcairn Islands [United Kingdom], 260 
Russia, 441 
Jordan, 441 
Marshall Islands, 441 
Chile, 441 
Kiribati, 435 
Haiti, 264 
Belize, 435 
Hong Kong, 433 
Sierra Leone, 332 
Georgia, 441 
Northern Mariana Islands [United States], 438 
Denmark, 441 
Poland, 441 
Equatorial Guinea, 153 
Moldova, 441 
Western Sahara [Morocco], 368 
Morocco, 441 
Croatia, 441 
Guinea-Bissau, 284 
Thailand, 441 
Namibia, 439 
Grenada, 360 
Korea; North, 440 
Iraq, 232 
Antigua; Barbuda; St. Kitts; and Nevis, 440 
Estonia, 441 
Uruguay, 441 
South Africa, 441 
Lebanon, 371 
Korea; South, 441 
Uzbekistan, 441 
Tunisia, 441 
Djibouti, 337 
Reunion and Associated Islands [France], 441 
Dominica, 347 
Colombia, 441 
Burundi, 155 
Zaire, 380 
Cyprus, 441 
Barbados, 439 
Seychelles, 440 
Qatar, 440 
Italy, 441 
Bhutan, 44 
Liberia, 257 
Sudan, 419 
Liechtenstein, 426 
Laos, 441 
Malta, 441 
Maldives, 401 
Suriname, 436 
Anguilla, 133 
Venezuela, 441 
Israel, 441 
Bouvet Island, 107 
Iceland, 441 
French Guiana [France], 441 
Senegal, 441 
Papua New Guinea, 441 
French Polynesia [France], 441 
Trinidad and Tobago, 441 
Zimbabwe, 426 
Germany, 441 
Western Samoa, 278 
Gambia, 406 
Mozambique, 434 
Christmas Island [Australia], 120 
Kazakhstan, 441 
Philippines, 441 
Eritrea, 146 
Kyrgyzstan, 441 
Cocos (Keeling) Islands [Australia], 441 
South Georgia and South Sandwich Islands [United Kingdom], 116 
Cook Islands [New Zealand], 441 
Macedonia, 440 
Tokelau [New Zealand], 143 
Sri Lanka, 441 
Latvia, 441 
New Caledonia [France], 441 
Guyana, 438 
Syria, 441 
Nepal, 435 
Svalbard [Norway], 441 
Honduras, 441 
Mexico, 441 
Egypt, 441 
Nicaragua, 392 
Mayotte [France], 438 
Singapore, 440 
Serbia, 441 
Comoros, 428 
United Kingdom, 441 
Antarctica, 441 
Congo, 441 
Wake Island [United States], 428 
Greece, 441 
Paraguay, 441 
Gabon, 409 
Ship Stations, 110 
Botswana, 434 
Puerto Rico [United States], 441 